,Time,X,Y,Theta,sigma,icrx,icry
0,0.03122073,0.270410733112664,0.32216622532793926,7.749108289880648,0.3651613867848951,0.23574505492333944,0.3008268241597551
1,0.06244146,0.26974159004535986,0.32351435576805204,7.779363572463969,0.3483828894907287,0.23430846833115576,0.30126971381821643
2,0.09366219,0.2689149380899841,0.32470416819909287,7.8294684846302225,0.33751392654266504,0.2332438192537133,0.3017478275184612
3,0.1248829,0.26814950962363615,0.3261004413387275,7.84361786887614,0.3321548098246796,0.23257374134036046,0.30227330278858605
4,0.1561037,0.26719508397695235,0.3272573495157534,7.885650249279485,0.3319158933605055,0.23230548057308242,0.3028567343593564
5,0.1873244,0.2662981733480447,0.3284853929140616,7.896715776363468,0.33642901366934524,0.23242943365597274,0.30350595906327066
6,0.2185451,0.2654795451759226,0.3294492583057497,7.962416915818959,0.3453328209783297,0.23291932635421048,0.30422506874147054
7,0.2497658,0.26460124433002336,0.3307298945690818,7.991173100201157,0.35824526496442155,0.2337340469600808,0.3050137939004701
8,0.2809866,0.2637550386171387,0.3317948326590659,8.033072137449649,0.3747314816329272,0.2348208502718915,0.30586733389469684
9,0.3122073,0.2626078398921172,0.3328390707367906,8.079414294281527,0.39427382776668607,0.23611942014163184,0.3067766270894539
10,0.343428,0.26186533652077976,0.3336608679661641,8.109967504568164,0.41625099288968337,0.23756618166786098,0.3077289802074936
11,0.3746488,0.26042375260512446,0.33486497486821143,8.145540805382312,0.4399332862505258,0.2390329988581909,0.3086893538878219
12,0.4058695,0.25960741694250344,0.3354165256834621,8.192056971540616,0.4644997352438522,0.24081902368998356,0.309763958675888
13,0.4370902,0.2584573862939807,0.3362909157778596,8.223021381399022,0.48907847365837265,0.24223949267180903,0.3103712649478429
14,0.468311,0.25728092435944594,0.3369505516734094,8.269280809624357,0.5128053586522553,0.24390347285167055,0.3113567760479365
15,0.4995317,0.2562168628172123,0.3375745862449431,8.317839534606266,0.5348890303886984,0.2453089182352024,0.31210764929174384
16,0.5307524,0.2548658330268481,0.338164030893711,8.362576861190936,0.5576986501768264,0.24668495429208673,0.3134011451117816
