1	2.882675e-02	2.611145e+03	4.688097e+02	3.037351e+02	7.852727e+01	4.233706e+01	3.734093e+01
2	5.765350e-02	2.600301e+03	4.692167e+02	3.037437e+02	7.840845e+01	4.222512e+01	3.879099e+01
3	8.648025e-02	2.615245e+03	4.695422e+02	3.037519e+02	7.871841e+01	4.230057e+01	4.041985e+01
4	1.153070e-01	2.612269e+03	4.702194e+02	3.036525e+02	7.839816e+01	4.242504e+01	4.167632e+01
5	1.441338e-01	2.610238e+03	4.706065e+02	3.035792e+02	7.861193e+01	4.227677e+01	4.308287e+01
6	1.729605e-01	2.616869e+03	4.711246e+02	3.035249e+02	7.877335e+01	4.229732e+01	4.444815e+01
7	2.017873e-01	2.603975e+03	4.715033e+02	3.036281e+02	7.863567e+01	4.216260e+01	4.578984e+01
8	2.306140e-01	2.600018e+03	4.718789e+02	3.037020e+02	7.846338e+01	4.219097e+01	4.727638e+01
9	2.594408e-01	2.589067e+03	4.723434e+02	3.038152e+02	7.843810e+01	4.202679e+01	4.896284e+01
10	2.882675e-01	2.598233e+03	4.728277e+02	3.036340e+02	7.851129e+01	4.213626e+01	4.996633e+01
11	3.170943e-01	2.590798e+03	4.731559e+02	3.037887e+02	7.850353e+01	4.201985e+01	5.100368e+01
12	3.459210e-01	2.596744e+03	4.736404e+02	3.036758e+02	7.878005e+01	4.196846e+01	5.235369e+01
13	3.747478e-01	2.581680e+03	4.738272e+02	3.039346e+02	7.860770e+01	4.181647e+01	5.422140e+01
14	4.035745e-01	2.589399e+03	4.744355e+02	3.037842e+02	7.883421e+01	4.182100e+01	5.533991e+01
15	4.324013e-01	2.601677e+03	4.748150e+02	3.038868e+02	7.886181e+01	4.200460e+01	5.665498e+01
16	4.612280e-01	2.572726e+03	4.751846e+02	3.040849e+02	7.816741e+01	4.190617e+01	5.817511e+01
17	4.900548e-01	2.571586e+03	4.754912e+02	3.042385e+02	7.830206e+01	4.181556e+01	5.994927e+01
18	5.188815e-01	2.589204e+03	4.760253e+02	3.041860e+02	7.880390e+01	4.183393e+01	6.051247e+01
19	5.477083e-01	2.587196e+03	4.764881e+02	3.043031e+02	7.900191e+01	4.169670e+01	6.206511e+01
20	5.765350e-01	2.588049e+03	4.771040e+02	3.043229e+02	7.924136e+01	4.158443e+01	6.323568e+01
21	6.053618e-01	2.584331e+03	4.774605e+02	3.044678e+02	7.897624e+01	4.166408e+01	6.427612e+01
22	6.341885e-01	2.579983e+03	4.778554e+02	3.046013e+02	7.916452e+01	4.149507e+01	6.584824e+01
23	6.630153e-01	2.590737e+03	4.782017e+02	3.046962e+02	7.914327e+01	4.167921e+01	6.658285e+01
24	6.918420e-01	2.586509e+03	4.786671e+02	3.048077e+02	7.968424e+01	4.132870e+01	6.786765e+01
25	7.206688e-01	2.585705e+03	4.790936e+02	3.050588e+02	7.959949e+01	4.135984e+01	6.955004e+01
26	7.494955e-01	2.590967e+03	4.793673e+02	3.053593e+02	7.959347e+01	4.144714e+01	7.064272e+01
27	7.783223e-01	2.580095e+03	4.800944e+02	3.053657e+02	7.946693e+01	4.133894e+01	7.195912e+01
28	8.071490e-01	2.575398e+03	4.802750e+02	3.056821e+02	7.952248e+01	4.123487e+01	7.337998e+01
29	8.359758e-01	2.578941e+03	4.806557e+02	3.058106e+02	7.975578e+01	4.117081e+01	7.435413e+01
30	8.648025e-01	2.576021e+03	4.812073e+02	3.059967e+02	7.957480e+01	4.121772e+01	7.591525e+01
31	8.936293e-01	2.584140e+03	4.814733e+02	3.062057e+02	7.991589e+01	4.117115e+01	7.712869e+01
32	9.224560e-01	2.584102e+03	4.819626e+02	3.064040e+02	7.958605e+01	4.134118e+01	7.882378e+01
33	9.512828e-01	2.566784e+03	4.823350e+02	3.067215e+02	7.961446e+01	4.104947e+01	7.974142e+01
34	9.801095e-01	2.578621e+03	4.825910e+02	3.069452e+02	7.971738e+01	4.118553e+01	8.112531e+01
35	1.008936e+00	2.579281e+03	4.830779e+02	3.071820e+02	7.975729e+01	4.117545e+01	8.209298e+01
36	1.037763e+00	2.577288e+03	4.835099e+02	3.073802e+02	7.984138e+01	4.110030e+01	8.353623e+01
37	1.066590e+00	2.577320e+03	4.838481e+02	3.078440e+02	7.957078e+01	4.124059e+01	8.437810e+01
38	1.095417e+00	2.566578e+03	4.840035e+02	3.080375e+02	7.971639e+01	4.099369e+01	8.579150e+01
39	1.124243e+00	2.567408e+03	4.844875e+02	3.083570e+02	7.968341e+01	4.102391e+01	8.695552e+01
40	1.153070e+00	2.578684e+03	4.846736e+02	3.086475e+02	7.948164e+01	4.130869e+01	8.812334e+01
41	1.181897e+00	2.570764e+03	4.849355e+02	3.089587e+02	7.921464e+01	4.132063e+01	8.991501e+01
42	1.210724e+00	2.588473e+03	4.854387e+02	3.093265e+02	7.969780e+01	4.135303e+01	9.076041e+01
43	1.239550e+00	2.576970e+03	4.857599e+02	3.096150e+02	7.937096e+01	4.133880e+01	9.244892e+01
44	1.268377e+00	2.589912e+03	4.860578e+02	3.099505e+02	7.974917e+01	4.134937e+01	9.359570e+01
45	1.297204e+00	2.569594e+03	4.862935e+02	3.103657e+02	7.981168e+01	4.099286e+01	9.488194e+01
46	1.326031e+00	2.572984e+03	4.865561e+02	3.106333e+02	7.969102e+01	4.110908e+01	9.611831e+01
47	1.354857e+00	2.582464e+03	4.869680e+02	3.110445e+02	7.930724e+01	4.146021e+01	9.703289e+01
48	1.383684e+00	2.583305e+03	4.870611e+02	3.113298e+02	7.967071e+01	4.128450e+01	9.834010e+01
49	1.412511e+00	2.590830e+03	4.873488e+02	3.116013e+02	7.956516e+01	4.145971e+01	9.995856e+01
50	1.441338e+00	2.601685e+03	4.876377e+02	3.120764e+02	7.980682e+01	4.150734e+01	1.010439e+02
51	1.470164e+00	2.591598e+03	4.877869e+02	3.124080e+02	7.918356e+01	4.167185e+01	1.023534e+02
52	1.498991e+00	2.586950e+03	4.881427e+02	3.128983e+02	7.949444e+01	4.143443e+01	1.033301e+02
53	1.527818e+00	2.582913e+03	4.881041e+02	3.132599e+02	7.917158e+01	4.153848e+01	1.048661e+02
54	1.556645e+00	2.583337e+03	4.886779e+02	3.137027e+02	7.926987e+01	4.149379e+01	1.063308e+02
55	1.585471e+00	2.585476e+03	4.887009e+02	3.139988e+02	7.913492e+01	4.159896e+01	1.080515e+02
56	1.614298e+00	2.591677e+03	4.889285e+02	3.144668e+02	7.892296e+01	4.181072e+01	1.087664e+02
57	1.643125e+00	2.604167e+03	4.891153e+02	3.147548e+02	7.936417e+01	4.177866e+01	1.105836e+02
58	1.671952e+00	2.596363e+03	4.893086e+02	3.152763e+02	7.891496e+01	4.189055e+01	1.121991e+02
59	1.700778e+00	2.597711e+03	4.894717e+02	3.156520e+02	7.898458e+01	4.187537e+01	1.133137e+02
60	1.729605e+00	2.588506e+03	4.895514e+02	3.160276e+02	7.874709e+01	4.185283e+01	1.144089e+02
61	1.758432e+00	2.590105e+03	4.898318e+02	3.164559e+02	7.888992e+01	4.180286e+01	1.159813e+02
62	1.787259e+00	2.605797e+03	4.899623e+02	3.169366e+02	7.896183e+01	4.201782e+01	1.169061e+02
63	1.816085e+00	2.626849e+03	4.901157e+02	3.173769e+02	7.928351e+01	4.218542e+01	1.181349e+02
64	1.844912e+00	2.604927e+03	4.902058e+02	3.176549e+02	7.896680e+01	4.200114e+01	1.194536e+02
65	1.873739e+00	2.604746e+03	4.904178e+02	3.182338e+02	7.879973e+01	4.208727e+01	1.211184e+02
66	1.902566e+00	2.610426e+03	4.903625e+02	3.185304e+02	7.862971e+01	4.227024e+01	1.223235e+02
67	1.931392e+00	2.604314e+03	4.905402e+02	3.189819e+02	7.831026e+01	4.234331e+01	1.240955e+02
68	1.960219e+00	2.619909e+03	4.905821e+02	3.193919e+02	7.878732e+01	4.233894e+01	1.250212e+02
69	1.989046e+00	2.614025e+03	4.906085e+02	3.198295e+02	7.827144e+01	4.252228e+01	1.267509e+02
70	2.017873e+00	2.628810e+03	4.907348e+02	3.202659e+02	7.849507e+01	4.264096e+01	1.280254e+02
71	2.046699e+00	2.630278e+03	4.907224e+02	3.207365e+02	7.883530e+01	4.248064e+01	1.292262e+02
72	2.075526e+00	2.603281e+03	4.906826e+02	3.211196e+02	7.802410e+01	4.248175e+01	1.307815e+02
73	2.104353e+00	2.617981e+03	4.906333e+02	3.215409e+02	7.846577e+01	4.248117e+01	1.319353e+02
74	2.133180e+00	2.613331e+03	4.906063e+02	3.218587e+02	7.848323e+01	4.239628e+01	1.335489e+02
75	2.162006e+00	2.623884e+03	4.908242e+02	3.225198e+02	7.853455e+01	4.253965e+01	1.350595e+02
76	2.190833e+00	2.634626e+03	4.907616e+02	3.229991e+02	7.877722e+01	4.258223e+01	1.362590e+02
77	2.219660e+00	2.637630e+03	4.908033e+02	3.234479e+02	7.876816e+01	4.263569e+01	1.376704e+02
78	2.248487e+00	2.631839e+03	4.907269e+02	3.238709e+02	7.878318e+01	4.253398e+01	1.389052e+02
