,LA,MP,LIN,ROT,TOTAL_FUN,TOTAL_EXP,MPV
0,5,20,4.725515394417608e-05,0.0057887015065031635,0.0057942227053197105,0.006197970527648564,0.6
1,5,30,2.127326184314748e-05,0.009997763837973591,0.01000011063541362,0.01019327310263897,0.9
2,5,40,0.00038472596774772385,0.01337912131535545,0.013399482214665137,0.013650652238825616,1.2
3,5,50,0.000396663920687941,0.020858360410233312,0.02085167228288809,0.02105762766815555,1.5
4,5,60,0.0011472910112737317,0.02930480703417689,0.029274420148181126,0.02933166603299167,1.8
5,5,70,0.0004856065733223465,0.037467695903994964,0.03747225596166224,0.037273609343688445,2.1
6,5,80,0.0006105392713905026,0.039949524596153696,0.039953609343091674,0.04014320903102213,2.4
7,5,90,0.001413777234488425,0.042104887608554326,0.04213430160973287,0.04220747741157715,2.7
8,5,100,0.0026033424405200747,0.041716411402454044,0.0416425235238593,0.04105560979837535,3.0
9,10,20,0.00020154630504719593,0.0032341852071149303,0.003241195910673237,0.004072276453756811,0.6
10,10,30,0.0004854113164138598,0.0060082117154263886,0.006061979325463438,0.0066230344320548085,0.9
11,10,40,0.00044697488764177057,0.010461149273407277,0.01045729996038149,0.010794168191713853,1.2
12,10,50,0.0011191412251789867,0.017171682365079724,0.01719845056495489,0.017537944093565638,1.5
13,10,60,0.001572350429916797,0.024771188974757854,0.024893649996771863,0.02512183066181108,1.8
14,10,70,0.0020022093680293765,0.0162757131934402,0.017077573412766174,0.017039813481260133,2.1
15,10,80,0.0033706556048013403,0.025568814842824677,0.025783368362670533,0.025505555847622444,2.4
16,10,90,0.0017620984161832772,0.024634167807571626,0.02474675869741276,0.024744228176242156,2.7
17,10,100,0.002761632913537143,0.02677952093474504,0.027119468908167257,0.026870223597097873,3.0
18,15,20,6.761970126066033e-06,0.0015285400993856882,0.001528678681189301,0.0030760041862781876,0.6
19,15,30,1.8671251009925588e-05,0.006303693368538803,0.0063036584476903815,0.007164479622351582,0.9
20,15,40,0.00013150415519051753,0.00836789542582329,0.008354503267934299,0.0091052667280014,1.2
21,15,50,4.537124734564221e-05,0.013491815518929804,0.013494386760316964,0.013946074520366506,1.5
22,15,60,0.0004319682659519716,0.018176355309723488,0.01816037273657806,0.018368115069859726,1.8
23,15,70,0.0017946308655345945,0.022826349907142107,0.023140314775688457,0.0229733208696703,2.1
24,15,80,0.0007169610612725899,0.027465039689259174,0.027464239752246173,0.027710493250583286,2.4
25,15,90,0.0008854195343361341,0.02692129267056163,0.026886716228774938,0.02711339616262153,2.7
26,15,100,0.0010034589730773674,0.026958966945425124,0.02692952016700519,0.027082124568827214,3.0
27,20,20,0.001448792605650296,0.001596231290945372,0.0025948874954541076,0.00371809612164022,0.6
28,20,30,5.037754687566401e-05,0.009356100605102103,0.00935670340353859,0.009705791072509577,0.9
29,20,40,6.951113916647009e-05,0.014790175931331712,0.014790156898206038,0.015098652077134362,1.2
30,20,50,0.0007760130588493077,0.02770259689986971,0.027722571259948446,0.02788584224892525,1.5
31,20,60,0.0014483344275986396,0.033216764135239836,0.03324868397016606,0.03332990487918207,1.8
32,20,70,0.0017451739620448926,0.03529933826651674,0.035444840000587466,0.0355215325227624,2.1
33,20,80,0.001567528879611691,0.03684703464804252,0.03693317529574767,0.03704470169615211,2.4
34,20,90,0.001746106958991596,0.03859374919869393,0.038672314041855366,0.03856010401713056,2.7
35,20,100,0.0018735744884905029,0.0396017359090496,0.039745423972080404,0.03979822580691922,3.0
36,25,20,0.00028958402677812086,0.00052485291136624,0.0006876274872589626,0.0028418645091602885,0.6
37,25,30,0.0005770717148493999,0.010224678793433226,0.010220402979534348,0.010569564839883494,0.9
38,25,40,0.0008080279609993525,0.012595365476165276,0.012602267839892455,0.01296813397823621,1.2
39,25,50,0.001179795159188598,0.019100053671635545,0.01914169341087622,0.019427628579199593,1.5
40,25,60,0.0016366176350003283,0.030989932964278138,0.031073296396878582,0.031194625124152477,1.8
41,25,70,0.0023877844190796542,0.0387391649219726,0.038933985527694455,0.039053411872288724,2.1
42,25,80,0.0021379953042431877,0.04381558060779138,0.043852272336529864,0.04377477760532915,2.4
43,25,90,0.003786553257305835,0.04618202182158886,0.04658171146638711,0.045378349876454366,2.7
44,25,100,0.0017715527797005082,0.04706666986239996,0.04710704956080305,0.047071052790605084,3.0
