   time(s)     rx(cm)     ry(cm)   phi(rad)    rcx(cm)    rcy(cm)        eta          w
   1.98000   35.88937   32.92441    5.41603   29.79126    0.29791    0.15098   -0.35413
   2.01000   35.92199   32.82829    5.40463   30.20320    0.30203    0.16962   -0.40561
   2.04000   35.95319   32.72986    5.39185   30.45507    0.30455    0.18389   -0.44637
   2.07000   35.98289   32.62968    5.37809   30.58355    0.30584    0.19240   -0.47117
   2.10000   36.01106   32.52849    5.36387   30.61220    0.30612    0.19446   -0.47700
   2.13000   36.03780   32.42713    5.34976   30.55325    0.30553    0.19002   -0.46351
   2.16000   36.06327   32.32638    5.33631   30.40999    0.30410    0.17968   -0.43307
   2.19000   36.08771   32.22690    5.32396   30.17954    0.30180    0.16472   -0.39042
   2.22000   36.11134   32.12911    5.31297   29.85816    0.29858    0.14703   -0.34183
   2.25000   36.13436   32.03313    5.30343   29.45295    0.29453    0.12897   -0.29417
   2.28000   36.15692   31.93883    5.29521   29.00360    0.29004    0.11310   -0.25378
   2.31000   36.17905   31.84583    5.28803   28.60332    0.28603    0.10166   -0.22544
   2.34000   36.20074   31.75359    5.28147   28.37745    0.28377    0.09603   -0.21170
   2.37000   36.22187   31.66150    5.27511   28.39421    0.28394    0.09639   -0.21251
   2.40000   36.24232   31.56902    5.26854   28.59990    0.28600    0.10171   -0.22532
   2.43000   36.26195   31.47575    5.26147   28.87408    0.28874    0.11003   -0.24566
   2.46000   36.28063   31.38148    5.25377   29.11991    0.29120    0.11899   -0.26796
   2.49000   36.29829   31.28626    5.24545   29.29153    0.29292    0.12639   -0.28662
   2.52000   36.31495   31.19032    5.23669   29.37681    0.29377    0.13051   -0.29707
   2.55000   36.33067   31.09408    5.22779   29.37684    0.29377    0.13040   -0.29662
   2.58000   36.34559   30.99799    5.21907   29.29535    0.29295    0.12593   -0.28499
   2.61000   36.35987   30.90248    5.21083   29.13688    0.29137    0.11784   -0.26438
   2.64000   36.37366   30.80784    5.20327   28.91305    0.28913    0.10771   -0.23910
   2.67000   36.38708   30.71414    5.19646   28.65815    0.28658    0.09778   -0.21486
   2.70000   36.40015   30.62123    5.19028   28.44771    0.28448    0.09062   -0.19766
   2.73000   36.41279   30.52872    5.18442   28.38596    0.28386    0.08859   -0.19278
   2.76000   36.42482   30.43605    5.17847   28.52753    0.28528    0.09324   -0.20373
   2.79000   36.43597   30.34255    5.17194   28.81222    0.28812    0.10482   -0.23155
   2.82000   36.44592   30.24759    5.16435   29.12416    0.29124    0.12219   -0.27453
   2.85000   36.45432   30.15065    5.15531   29.38557    0.29386    0.14312   -0.32833
   2.88000   36.46086   30.05144    5.14458   29.57438    0.29574    0.16484   -0.38665
   2.91000   36.46530   29.94997    5.13215   29.69796    0.29698    0.18466   -0.44218
   2.94000   36.46753   29.84651    5.11820   29.77152    0.29772    0.20034   -0.48773
   2.97000   36.46756   29.74164    5.10313   29.80930    0.29809    0.21035   -0.51737
   3.00000   36.46556   29.63610    5.08745   29.82250    0.29823    0.21381   -0.52739
   3.03000   36.46184   29.53071    5.07179   29.81970    0.29820    0.21058   -0.51691
   3.06000   36.45680   29.42624    5.05672   29.80772    0.29808    0.20115   -0.48797
   3.09000   36.45087   29.32333    5.04272   29.79257    0.29793    0.18671   -0.44522
   3.12000   36.44443   29.22237    5.03011   29.78000    0.29780    0.16910   -0.39517
   3.15000   36.43774   29.12346    5.01901   29.77549    0.29775    0.15075   -0.34516
   3.18000   36.43093   29.02644    5.00930   29.78264    0.29783    0.13436   -0.30218
   3.21000   36.42396   28.93093    5.00069   29.79961    0.29800    0.12245   -0.27186
   3.24000   36.41663   28.83636    4.99275   29.81620    0.29816    0.11677   -0.25759
   3.27000   36.40865   28.74213    4.98498   29.81817    0.29818    0.11788   -0.26015
   3.30000   36.39966   28.64766    4.97691   29.79814    0.29798    0.12500   -0.27770
   3.33000   36.38932   28.55249    4.96815   29.76025    0.29760    0.13633   -0.30620
   3.36000   36.37735   28.45635    4.95846   29.71454    0.29715    0.14953   -0.34024
   3.39000   36.36358   28.35918    4.94774   29.67037    0.29670    0.16229   -0.37397
   3.42000   36.34794   28.26116    4.93610   29.63443    0.29634    0.17274   -0.40216
   3.45000   36.33051   28.16259    4.92375   29.61125    0.29611    0.17966   -0.42100
   3.48000   36.31146   28.06388    4.91101   29.60401    0.29604    0.18257   -0.42871
   3.51000   36.29103   27.96544    4.89819   29.61478    0.29615    0.18167   -0.42569
   3.54000   36.26945   27.86764    4.88559   29.64382    0.29644    0.17778   -0.41433
   3.57000   36.24695   27.77069    4.87340   29.68808    0.29688    0.17221   -0.39848
   3.60000   36.22364   27.67467    4.86168   29.73931    0.29739    0.16654   -0.38259
   3.63000   36.19953   27.57949    4.85038   29.78366    0.29784    0.16235   -0.37091
   3.66000   36.17450   27.48496    4.83932   29.80489    0.29805    0.16091   -0.36665
   3.69000   36.14837   27.39081    4.82825   29.79155    0.29792    0.16281   -0.37138
   3.72000   36.12088   27.29677    4.81691   29.74345    0.29743    0.16793   -0.38476
   3.75000   36.09177   27.20263    4.80506   29.67163    0.29672    0.17537   -0.40464
   3.78000   36.06086   27.10828    4.79258   29.59263    0.29593    0.18377   -0.42746
   3.81000   36.02804   27.01376    4.77944   29.52238    0.29522    0.19157   -0.44891
   3.84000   35.99334   26.91924    4.76573   29.47342    0.29473    0.19731   -0.46476
   3.87000   35.95693   26.82500    4.75169   29.45517    0.29455    0.19990   -0.47160
   3.90000   35.91909   26.73140    4.73760   29.47517    0.29475    0.19871   -0.46750
   3.93000   35.88016   26.63877    4.72380   29.53991    0.29540    0.19365   -0.45239
   3.96000   35.84052   26.54742    4.71059   29.65440    0.29654    0.18523   -0.42809
   3.99000   35.80049   26.45752    4.69820   29.81940    0.29819    0.17451   -0.39805
   4.02000   35.76030   26.36914    4.68673   30.02557    0.30026    0.16303   -0.36680
   4.05000   35.72001   26.28218    4.67614   30.24509    0.30245    0.15266   -0.33927
   4.08000   35.67953   26.19643    4.66625   30.42700    0.30427    0.14528   -0.32002
   4.11000   35.63861   26.11156    4.65676   30.50865    0.30509    0.14244   -0.31252
   4.14000   35.59686   26.02722    4.64729   30.44813    0.30448    0.14502   -0.31873
   4.17000   35.55382   25.94304    4.63743   30.25309    0.30253    0.15302   -0.33883
   4.20000   35.50900   25.85871    4.62678   29.97405    0.29974    0.16558   -0.37125
   4.23000   35.46194   25.77404    4.61501   29.67080    0.29671    0.18128   -0.41303
   4.26000   35.41228   25.68894    4.60191   29.38658    0.29387    0.19841   -0.46024
   4.29000   35.35975   25.60348    4.58738   29.14322    0.29143    0.21535   -0.50866
   4.32000   35.30423   25.51783    4.57144   28.94738    0.28947    0.23080   -0.55427
   4.35000   35.24574   25.43227    4.55422   28.79795    0.28798    0.24384   -0.59381
   4.38000   35.18442   25.34714    4.53593   28.69078    0.28691    0.25397   -0.62502
   4.41000   35.12049   25.26280    4.51686   28.62105    0.28621    0.26103   -0.64678
   4.44000   35.05426   25.17959    4.49727   28.58417    0.28584    0.26515   -0.65904
   4.47000   34.98603   25.09780    4.47745   28.57607    0.28576    0.26663   -0.66258
   4.50000   34.91613   25.01767    4.45763   28.59319    0.28593    0.26586   -0.65867
   4.53000   34.84486   24.93935    4.43801   28.63247    0.28632    0.26328   -0.64882
   4.56000   34.77248   24.86296    4.41876   28.69145    0.28691    0.25929   -0.63448
   4.59000   34.69922   24.78854    4.39999   28.76817    0.28768    0.25422   -0.61692
   4.62000   34.62526   24.71610    4.38178   28.86103    0.28861    0.24837   -0.59720
   4.65000   34.55076   24.64563    4.36418   28.96816    0.28968    0.24202   -0.57630
   4.68000   34.47584   24.57708    4.34721   29.08633    0.29086    0.23547   -0.55522
   4.71000   34.40056   24.51039    4.33085   29.20930    0.29209    0.22913   -0.53518
   4.74000   34.32493   24.44545    4.31506   29.32609    0.29326    0.22354   -0.51773
   4.77000   34.24889   24.38217    4.29972   29.41993    0.29420    0.21939   -0.50475
   4.80000   34.17226   24.32044    4.28467   29.46958    0.29470    0.21745   -0.49833
   4.83000   34.09477   24.26012    4.26969   29.45424    0.29454    0.21850   -0.50053
   4.86000   34.01606   24.20113    4.25449   29.36133    0.29361    0.22309   -0.51303
   4.89000   33.93569   24.14337    4.23874   29.19312    0.29193    0.23147   -0.53679
   4.92000   33.85318   24.08683    4.22211   28.96750    0.28967    0.24338   -0.57172
   4.95000   33.76804   24.03154    4.20429   28.71167    0.28712    0.25813   -0.61650
   4.98000   33.67988   23.97763    4.18501   28.45332    0.28453    0.27463   -0.66856
   5.01000   33.58841   23.92530    4.16412   28.21421    0.28214    0.29159   -0.72427
   5.04000   33.49349   23.87484    4.14157   28.00814    0.28008    0.30770   -0.77931
   5.07000   33.39524   23.82658    4.11744   27.84211    0.27842    0.32183   -0.82918
   5.10000   33.29391   23.78086    4.09195   27.71848    0.27718    0.33312   -0.86984
   5.13000   33.19000   23.73803    4.06543   27.63686    0.27637    0.34101   -0.89827
   5.16000   33.08410   23.69835    4.03826   27.59527    0.27595    0.34531   -0.91292
   5.19000   32.97688   23.66199    4.01086   27.59053    0.27591    0.34616   -0.91396
   5.22000   32.86897   23.62903    3.98360   27.61781    0.27618    0.34406   -0.90336
   5.25000   32.76091   23.59947    3.95678   27.66983    0.27670    0.33983   -0.88457
   5.28000   32.65307   23.57321    3.93058   27.73587    0.27736    0.33454   -0.86214
   5.31000   32.54560   23.55014    3.90503   27.80139    0.27801    0.32948   -0.84104
   5.34000   32.43845   23.53016    3.88003   27.84931    0.27849    0.32595   -0.82599
   5.37000   32.33137   23.51322    3.85533   27.86342    0.27863    0.32504   -0.82087
   5.40000   32.22397   23.49932    3.83059   27.83328    0.27833    0.32748   -0.82815
   5.43000   32.11578   23.48858    3.80544   27.75801    0.27758    0.33344   -0.84868
   5.46000   32.00635   23.48118    3.77948   27.64628    0.27646    0.34254   -0.88161
   5.49000   31.89529   23.47738    3.75239   27.51266    0.27513    0.35398   -0.92463
   5.52000   31.78239   23.47750    3.72390   27.37253    0.27373    0.36671   -0.97439
   5.55000   31.66758   23.48187    3.69388   27.23837    0.27238    0.37968   -1.02706
   5.58000   31.55100   23.49083    3.66229   27.11824    0.27118    0.39201   -1.07889
   5.61000   31.43294   23.50464    3.62921   27.01600    0.27016    0.40306   -1.12676
   5.64000   31.31384   23.52353    3.59478   26.93230    0.26932    0.41248   -1.16854
   5.67000   31.19419   23.54765    3.55920   26.86561    0.26866    0.42020   -1.20331
   5.70000   31.07452   23.57707    3.52268   26.81308    0.26813    0.42637   -1.23127
   5.73000   30.95534   23.61182    3.48541   26.77124    0.26771    0.43129   -1.25353
   5.76000   30.83708   23.65189    3.44753   26.73654    0.26737    0.43534   -1.27178
   5.79000   30.72011   23.69725    3.40914   26.70587    0.26706    0.43888   -1.28778
   5.82000   30.60474   23.74788    3.37028   26.67699    0.26677    0.44221   -1.30301
   5.85000   30.49122   23.80378    3.33096   26.64877    0.26649    0.44548   -1.31828
   5.88000   30.37981   23.86492    3.29118   26.62130    0.26621    0.44870   -1.33357
   5.91000   30.27079   23.93125    3.25096   26.59563    0.26596    0.45170   -1.34804
   5.94000   30.16446   24.00267    3.21033   26.57342    0.26573    0.45421   -1.36015
   5.97000   30.06116   24.07902    3.16941   26.55649    0.26556    0.45589   -1.36800
   6.00000   29.96129   24.16002    3.12835   26.54645    0.26546    0.45640   -1.36967
   6.03000   29.86523   24.24528    3.08735   26.54445    0.26544    0.45546   -1.36363
   6.06000   29.77335   24.33434    3.04666   26.55100    0.26551    0.45291   -1.34903
   6.09000   29.68595   24.42666    3.00653   26.56600    0.26566    0.44869   -1.32587
   6.12000   29.60325   24.52168    2.96722   26.58866    0.26589    0.44292   -1.29511
   6.15000   29.52537   24.61883    2.92891   26.61761    0.26618    0.43585   -1.25849
   6.18000   29.45232   24.71763    2.89176   26.65096    0.26651    0.42785   -1.21828
   6.21000   29.38401   24.81767    2.85583   26.68647    0.26686    0.41937   -1.17697
   6.24000   29.32028   24.91867    2.82113   26.72181    0.26722    0.41087   -1.13690
   6.27000   29.26092   25.02041    2.78757   26.75492    0.26755    0.40279   -1.09988
   6.30000   29.20572   25.12281    2.75507   26.78437    0.26784    0.39539   -1.06696
   6.33000   29.15447   25.22581    2.72349   26.80965    0.26810    0.38878   -1.03833
   6.36000   29.10698   25.32938    2.69272   26.83126    0.26831    0.38286   -1.01330
   6.39000   29.06311   25.43346    2.66266   26.85052    0.26851    0.37736   -0.99052
   6.42000   29.02272   25.53796    2.63328   26.86923    0.26869    0.37185   -0.96816
   6.45000   28.98574   25.64271    2.60459   26.88927    0.26889    0.36588   -0.94433
   6.48000   28.95206   25.74749    2.57667   26.91221    0.26912    0.35901   -0.91738
   6.51000   28.92159   25.85200    2.54961   26.93915    0.26939    0.35091   -0.88622
   6.54000   28.89421   25.95595    2.52356   26.97052    0.26971    0.34142   -0.85052
   6.57000   28.86975   26.05903    2.49864   27.00608    0.27006    0.33056   -0.81083
   6.60000   28.84806   26.16099    2.47495   27.04482    0.27045    0.31864   -0.76859
   6.63000   28.82891   26.26167    2.45253   27.08494    0.27085    0.30619   -0.72593
   6.66000   28.81211   26.36103    2.43136   27.12385    0.27124    0.29396   -0.68546
   6.69000   28.79746   26.45914    2.41133   27.15839    0.27158    0.28288   -0.64996
   6.72000   28.78478   26.55622    2.39225   27.18533    0.27185    0.27390   -0.62206
   6.75000   28.77393   26.65258    2.37386   27.20223    0.27202    0.26788   -0.60386
   6.78000   28.76484   26.74863    2.35585   27.20841    0.27208    0.26541   -0.59670
   6.81000   28.75747   26.84482    2.33789   27.20546    0.27205    0.26666   -0.60096
   6.84000   28.75186   26.94159    2.31964   27.19677    0.27197    0.27135   -0.61592
   6.87000   28.74809   27.03933    2.30080   27.18637    0.27186    0.27878   -0.63978
   6.90000   28.74628   27.13834    2.28116   27.17761    0.27178    0.28793   -0.66980
   6.93000   28.74657   27.23876    2.26057   27.17245    0.27172    0.29763   -0.70252
   6.96000   28.74913   27.34059    2.23902   27.17132    0.27171    0.30669   -0.73401
   6.99000   28.75407   27.44364    2.21661   27.17347    0.27173    0.31402   -0.76035
   7.02000   28.76147   27.54757    2.19353   27.17733    0.27177    0.31872   -0.77790
   7.05000   28.77132   27.65187    2.17011   27.18075    0.27181    0.32010   -0.78379
   7.08000   28.78356   27.75597    2.14671   27.18122    0.27181    0.31772   -0.77621
   7.11000   28.79799   27.85925    2.12375   27.17587    0.27176    0.31138   -0.75468
   7.14000   28.81437   27.96111    2.10162   27.16153    0.27162    0.30116   -0.72015
   7.17000   28.83240   28.06106    2.08070   27.13483    0.27135    0.28745   -0.67504
   7.20000   28.85175   28.15874    2.06122   27.09267    0.27093    0.27105   -0.62299
   7.23000   28.87213   28.25396    2.04335   27.03323    0.27033    0.25314   -0.56860
   7.26000   28.89332   28.34677    2.02707   26.95807    0.26958    0.23535   -0.51692
   7.29000   28.91518   28.43740    2.01222   26.87497    0.26875    0.21954   -0.47293
   7.32000   28.93769   28.52627    1.99851   26.80016    0.26800    0.20764   -0.44100
   7.35000   28.96093   28.61394    1.98553   26.75592    0.26756    0.20124   -0.42437
   7.38000   28.98512   28.70106    1.97279   26.76134    0.26761    0.20125   -0.42473
   7.41000   29.01052   28.78828    1.95979   26.82113    0.26821    0.20764   -0.44206
   7.44000   29.03746   28.87621    1.94604   26.92313    0.26923    0.21943   -0.47457
   7.47000   29.06629   28.96533    1.93114   27.04665    0.27047    0.23498   -0.51892
   7.50000   29.09734   29.05594    1.91480   27.17263    0.27173    0.25234   -0.57066
   7.53000   29.13088   29.14814    1.89687   27.28837    0.27288    0.26962   -0.62476
   7.56000   29.16711   29.24182    1.87735   27.38730    0.27387    0.28529   -0.67628
   7.59000   29.20614   29.33670    1.85639   27.46688    0.27467    0.29825   -0.72093
   7.62000   29.24795   29.43234    1.83424   27.52677    0.27527    0.30791   -0.75564
   7.65000   29.29245   29.52825    1.81123   27.56774    0.27568    0.31408   -0.77886
   7.68000   29.33946   29.62391    1.78768   27.59129    0.27591    0.31699   -0.79068
   7.71000   29.38876   29.71887    1.76393   27.59968    0.27600    0.31717   -0.79263
   7.74000   29.44014   29.81278    1.74023   27.59614    0.27596    0.31537   -0.78739
   7.77000   29.49341   29.90542    1.71675   27.58498    0.27585    0.31248   -0.77822
   7.80000   29.54846   29.99669    1.69355   27.57136    0.27571    0.30938   -0.76835
   7.83000   29.60522   30.08659    1.67062   27.56051    0.27561    0.30681   -0.76043
   7.86000   29.66374   30.17521    1.64787   27.55645    0.27556    0.30523   -0.75608
   7.89000   29.72406   30.26262    1.62520   27.56069    0.27561    0.30474   -0.75560
   7.92000   29.78627   30.34892    1.60249   27.57161    0.27572    0.30506   -0.75804
   7.95000   29.85039   30.43411    1.57970   27.58472    0.27585    0.30562   -0.76137
   7.98000   29.91640   30.51815    1.55683   27.59369    0.27594    0.30569   -0.76294
   8.01000   29.98418   30.60090    1.53399   27.59154    0.27592    0.30452   -0.76007
   8.04000   30.05351   30.68218    1.51133   27.57170    0.27572    0.30149   -0.75064
   8.07000   30.12411   30.76178    1.48907   27.52874    0.27529    0.29627   -0.73355
   8.10000   30.19565   30.83954    1.46743   27.45923    0.27459    0.28887   -0.70911
   8.13000   30.26779   30.91532    1.44660   27.36297    0.27363    0.27969   -0.67909
   8.16000   30.34029   30.98908    1.42672   27.24487    0.27245    0.26954   -0.64655
   8.19000   30.41302   31.06089    1.40779   27.11712    0.27117    0.25958   -0.61540
   8.22000   30.48597   31.13091    1.38971   27.00018    0.27000    0.25118   -0.58983
   8.25000   30.55934   31.19938    1.37226   26.92018    0.26920    0.24567   -0.57358
   8.28000   30.63344   31.26657    1.35512   26.90091    0.26901    0.24402   -0.56932
   8.31000   30.70870   31.33276    1.33790   26.95336    0.26953    0.24662   -0.57819
   8.34000   30.78560   31.39821    1.32024   27.06981    0.27070    0.25316   -0.59950
   8.37000   30.86460   31.46306    1.30178   27.22759    0.27228    0.26266   -0.63080
   8.40000   30.94605   31.52736    1.28230   27.39896    0.27399    0.27370   -0.66820
   8.43000   31.03017   31.59105    1.26167   27.55992    0.27560    0.28475   -0.70690
   8.46000   31.11699   31.65394    1.23994   27.69385    0.27694    0.29440   -0.74199
   8.49000   31.20634   31.71577    1.21727   27.79115    0.27791    0.30155   -0.76908
   8.52000   31.29788   31.77624    1.19396   27.84723    0.27847    0.30552   -0.78507
   8.55000   31.39116   31.83507    1.17036   27.86077    0.27861    0.30603   -0.78852
   8.58000   31.48565   31.89200    1.14683   27.83294    0.27833    0.30324   -0.77985
   8.61000   31.58086   31.94690    1.12371   27.76756    0.27768    0.29771   -0.76125
   8.64000   31.67638   31.99968    1.10125   27.67205    0.27672    0.29031   -0.73621
   8.67000   31.77194   32.05039    1.07957   27.55853    0.27559    0.28217   -0.70901
   8.70000   31.86747   32.09909    1.05868   27.44396    0.27444    0.27450   -0.68389
   8.73000   31.96305   32.14592    1.03846   27.34810    0.27348    0.26841   -0.66448
   8.76000   32.05890   32.19101    1.01869   27.28860    0.27289    0.26467   -0.65312
